Contract,Token,Symbol,PairId,Price,MarketCap,Liquidity,FDV
CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,Official Mascot of the Holy Year,LUCE,HQWsAXxH3dGy9DQbryJyDrquKt2eDY6MMHWmpUEKfgZq,$0.001043,$1.0M,$514K,$1.0M
BGV194BxNyzyKDNPMrmtEigNoPYtTbQLN97zra6wwzy3,114514,AI,CJU4XakFGG64gwbRAtPbqrkWAXp1X845GyShGoMnVFY1,$0.006210,$6.2B,$24.8M,$6.2B
8Ssu2MYUcxoeLoKC3BivTz6EHfC6SUPaPwDDpnmw2Cu1,MADURO DOG,00,AUeuRQASMQTaRXaAA2LhmWTmroTD1C7WBNzBzjKgtC9c,$0.006639,$6.6B,$26.6M,$6.6B
C5KPhGn5Z2ds5v3WEhrBZ1wwubsXRoNXLKXnb38REs47,Mia Ko,00,Hbp2HNyW6HPKPyKvZQ3dtftZ8zL2uqVwSDrTx5jCZgYY,$0.000437,$437.5M,$1.7M,$437.5M
EmM63WurCWP23QK9o5B1GVRDPsaCW2XLVEtRbMDcAu6v,EU Dream,00,91x8pHmyn7TZ6BcvGxEBbFdRVF4H3BQZjEXugQmGcNb8,$0.000284,$284.1M,$1.1M,$284.1M
2M6xyFStXASnKbmnMh3R3mKvuL34a3MMaAuLMCcVWsXE,1 meme can change your life,00,2pq8PEy3BKXs58m4XTMkT1xWQGWHPaoCSKQbYgiZ7AER,$0.000717,$717.0M,$2.9M,$717.0M
E4QpadgLsgTJutLFNmcCJHShSiGtawW2SMvvAmXcJT17,Junlper,AI,Fj2MteYSdKB1HEHCoMCKLK19yyecmpLpJuoa1q22D3B2,$0.000221,$220.9M,$884K,$220.9M
CkbRjuF6EdviKrfhNUeABrHBosWJsQgWQe4vJi7kAtHq,Ralph Wiggum,Wiggum,EACrnt1itKfU4xSAfGYKYTGWc8pCNW2s5ighgb4uNz4t,$0.000551,$550.6M,$2.2M,$550.6M
APNdZHDb3RG1FztpGsAxQMVvH7fGdbYFKgwjs1p4AFrN,glegle,COIN,4JZn5DfqgnuUUc4VYus8iGvwE1pCMzWCGC6GouyeCVzT,$0.000181,$180.9M,$724K,$180.9M
FyDhsQ23yxstL6U4pRT8LDWM2HZyRcJGvWcFFgNtf54B,BOMP(pump),00,8gxtHcPuTVFJZkSpJw66G6ReH7xAJeTDSqDigM9BYUHj,$0.000418,$418.0M,$1.7M,$418.0M
FCLdiWKtp7gV3fZp2EyJxqVayMcs6Nje5K2YbaLGCJAG,good morning,00,6yP6KBttn5VXFVhijay7fN26YT26MaLVHhniqiw2WKTr,$0.002309,$2.3B,$9.2M,$2.3B
AVLhahDcDQ4m4vHM4ug63oh7xc8Jtk49Dm5hoe9Sazqr,Solama,SOLAMA,CR8FJB9jqGvtNYnYUuxyyS41WXue2HZRfhNavkaV8CS4,$0.001408,$953K,$216K,$953K
A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,FWOG,FWOG,AB1eu2L1Jr3nfEft85AuD2zGksUbam1Kr8MR3uM2sjwt,$0.016570,$16.2M,$2.9M,$16.2M
