Token,Symbol,Contract,PairId,Price,MarketCap_raw,Liquidity_raw,FDV_raw,MarketCap,Liquidity,FDV
Official Mascot of the Holy Year,LUCE,CBdCxKo9QavR9hfShgpEBG3zekorAeD7W1jfq2o3pump,HQWsAXxH3dGy9DQbryJyDrquKt2eDY6MMHWmpUEKfgZq,$0.001043,1043815.0,513850.48,1043815.0,$1.0M,$514K,$1.0M
114514,AI,BGV194BxNyzyKDNPMrmtEigNoPYtTbQLN97zra6wwzy3,CJU4XakFGG64gwbRAtPbqrkWAXp1X845GyShGoMnVFY1,$0.006210,6206777165.0,24841204.03,6206777165.0,$6.2B,$24.8M,$6.2B
MADURO DOG,00,8Ssu2MYUcxoeLoKC3BivTz6EHfC6SUPaPwDDpnmw2Cu1,AUeuRQASMQTaRXaAA2LhmWTmroTD1C7WBNzBzjKgtC9c,$0.006639,6639944580.0,26559778.7,6639944580.0,$6.6B,$26.6M,$6.6B
Mia Ko,00,C5KPhGn5Z2ds5v3WEhrBZ1wwubsXRoNXLKXnb38REs47,Hbp2HNyW6HPKPyKvZQ3dtftZ8zL2uqVwSDrTx5jCZgYY,$0.000437,437487848.0,1749951.61,437487848.0,$437.5M,$1.7M,$437.5M
EU Dream,00,EmM63WurCWP23QK9o5B1GVRDPsaCW2XLVEtRbMDcAu6v,91x8pHmyn7TZ6BcvGxEBbFdRVF4H3BQZjEXugQmGcNb8,$0.000284,284126340.0,1136505.36,284126340.0,$284.1M,$1.1M,$284.1M
1 meme can change your life,00,2M6xyFStXASnKbmnMh3R3mKvuL34a3MMaAuLMCcVWsXE,2pq8PEy3BKXs58m4XTMkT1xWQGWHPaoCSKQbYgiZ7AER,$0.000717,716997690.0,2867990.96,716997690.0,$717.0M,$2.9M,$717.0M
Junlper,AI,E4QpadgLsgTJutLFNmcCJHShSiGtawW2SMvvAmXcJT17,Fj2MteYSdKB1HEHCoMCKLK19yyecmpLpJuoa1q22D3B2,$0.000221,220889833.0,884060.96,220889833.0,$220.9M,$884K,$220.9M
Ralph Wiggum,Wiggum,CkbRjuF6EdviKrfhNUeABrHBosWJsQgWQe4vJi7kAtHq,EACrnt1itKfU4xSAfGYKYTGWc8pCNW2s5ighgb4uNz4t,$0.000551,550604677.0,2203669.44,550604677.0,$550.6M,$2.2M,$550.6M
[:Great-Great: Gravity.],Gravity,0x98e9E8d5754Db061025d47F5b94110AcdB5e1224,0xa1b20e59d5c5A1e863e80383457119CC9DA7Bf87,$0.000000,35688695.0,694101.3,35688695.0,$35.7M,$694K,$35.7M
glegle,COIN,APNdZHDb3RG1FztpGsAxQMVvH7fGdbYFKgwjs1p4AFrN,4JZn5DfqgnuUUc4VYus8iGvwE1pCMzWCGC6GouyeCVzT,$0.000181,180905405.0,724032.44,180905405.0,$180.9M,$724K,$180.9M
BOMP(pump),00,FyDhsQ23yxstL6U4pRT8LDWM2HZyRcJGvWcFFgNtf54B,8gxtHcPuTVFJZkSpJw66G6ReH7xAJeTDSqDigM9BYUHj,$0.000418,418049423.0,1672197.9,418049423.0,$418.0M,$1.7M,$418.0M
good morning,00,FCLdiWKtp7gV3fZp2EyJxqVayMcs6Nje5K2YbaLGCJAG,6yP6KBttn5VXFVhijay7fN26YT26MaLVHhniqiw2WKTr,$0.002309,2309564034.0,9238256.34,2309564034.0,$2.3B,$9.2M,$2.3B
Solama,SOLAMA,AVLhahDcDQ4m4vHM4ug63oh7xc8Jtk49Dm5hoe9Sazqr,CR8FJB9jqGvtNYnYUuxyyS41WXue2HZRfhNavkaV8CS4,$0.001408,952729.0,216202.68,952729.0,$953K,$216K,$953K
FWOG,FWOG,A8C3xuqscfmyLrte3VmTqrAq8kgMASius9AFNANwpump,AB1eu2L1Jr3nfEft85AuD2zGksUbam1Kr8MR3uM2sjwt,$0.016570,16166742.0,2936623.97,16166742.0,$16.2M,$2.9M,$16.2M
Velyn Cash,00,GrgRcGgnu4V9wmZJh76uPnNNUYSrxkbTvQJeAHCZeVRH,2SyUVgebXP6sptwkosQ7bdJhV5buXJrEwsfZpoRNAjhQ,$0.000171,170979597.0,683918.38,170979597.0,$171.0M,$684K,$171.0M
Dark Horse,00,CRhs3Pv9HXZUq84CHZhjrMS4kWewUcWuAfxZRMU1hN5P,8y2HSJKS4N3xcoxxS3C1zCxZmRJ59koASkBrNC7ogbta,$0.000164,164078666.0,656314.87,164078666.0,$164.1M,$656K,$164.1M
Kabuto,00,x96u1RaapDFUAoK2txwBgWFjoGDtEbJ7VsTu1nj9s6F,9oUzoEMmsngUWstKDV3nv1Mjs5EVJAa9ZhSvNETiXn97,$0.001860,1860731386.0,7442926.39,1860731386.0,$1.9B,$7.4M,$1.9B
PONKE,00,5droEoVBYyvMaj5Sx15bBio5xb4TRnHLotNeTVbUuFp8,9h1Kn7vNRsfiMvGfb2YmHjtF4EuUbH4dbUTo4Qi3XFZA,$0.061810,61811810264.0,247247241.26,61811810264.0,$61.8B,$247.2M,$61.8B
Purple Wojak,00,7pXKuAtkupbrpT7WKRebf4mgJchtPEXMJrPq5Hs8TzRz,H2MCPWbf8ZEKJBxuYQXwQUKqroHmqW1Z6XTMQt77NQbm,$0.001471,1471793268.0,5887173.28,1471793268.0,$1.5B,$5.9M,$1.5B
Neuro-sama,00,2EiR9JpsfrG3RkHRDv1zzDkqEiB7DE6aXcfHTj4VykvP,KdWfsmRpvQx9FunHc9b55FNi7RVG2JCgcVnUBkMMvTp,$0.000561,560923591.0,2243694.57,560923591.0,$560.9M,$2.2M,$560.9M
FAFO,FAFO,HAEVQLpFojyzixK23jV2YqevJPEo1B12LmoCb7RadtKb,CC3NT8mLgw1YhkSYPqcuEohkN7F7phYsTBkFH5eq46u3,$0.002337,2337258.0,194929.56,2337258.0,$2.3M,$195K,$2.3M
