Contract,Token,Symbol,PairId,Price,MarketCap,Liquidity,FDV
Cc1n65KSwtjsAKFBsE7BZLdTWp4vbmL7X1J6c9YBAC78,wifmas,00,EGG23b2VLwJ6cWXuVVbxHTrVQabVjmDhVus3k2kHBPB1,$0.000651,$650.9M,$2.6M,$650.9M
7E6A1bYWR6dWZ2UEKTV7CHjaRXSTSxmuKuKjv64Vdwzg,snowball,COIN,7uHgNMDmrnHMxw2C7ybnuyAYQNYjfPfebLNR9xCwg8oZ,$0.006708,$6.7B,$26.8M,$6.7B
TfXMqdaPqQNHVE7eJyJ4zU4KeGKrzYWDsj1g3b7koDS,Bullish Degen,Doge,CXSjPTznEHwzheS6sA9ccvnKT7JDvMxJUbEySuYs6rin,$0.016090,$16.1B,$64.4M,$16.1B
E2GiK2faCATQ7pJQtAHpGQAtyWZRBhX7rhS1E6iZG9xK,liquid,THE˙,DPMaDC3pdw1UbvdvtuCi2nEU9W6TmaDeEJQsFcoq3qyC,$0.001791,$1.8B,$7.2M,$1.8B
GrVqjMwdcS87F2vrhUMYtvVw4n5vNbcjpWEFaopHGCbN,DINOSOL,THE˙,D9BYXYCEZdSdnuWkkWsBDThzeXRKMTUipCuSE291sBzu,$0.000722,$722.1M,$2.9M,$722.1M
DSjJw3yxmZz7SmioksETpPnbpGSvf4wvr9W8HiW77qZN,Pumpfun v2,COIN,7fwhDMLP3iUJNqRrPH3McxxFdxfTEY8ZWbfWNndFGL8z,$0.002509,$2.5B,$10.0M,$2.5B
DjfYYGtnsB3UhAFCkrE7DBkdd77tnQDx5t76Wu2RC5qf,Tuna,00,HjNLVrVsb8kLMo1Leo4YMTqccHNrszgtxsXpe8QsCAWw,$0.000821,$821.0M,$3.3M,$821.0M
9223LqDuoJXyhCtvi54DUQPGS8Xf29kUEQRr7Sfhmoon,LOOK,LOOK,Dix8AqqZgGRJAE1ymR52pBVGKseejxDMCFqyHY7Qk9h7,$0.021750,$20.1M,$396K,$20.1M
BS4Y6cv12oDd9PjP3QZ2zid3M1XpRrNMMeP6XsoJLRHp,Neuro-sama,THE˙,6wGEY4QH5AZb3vZzwDJzYAiN3m64DMb3dbjGVAEDkE6c,$0.000838,$838.0M,$3.4M,$838.0M
Ago2CkbkY2g44xztjbQryhph2Ceg6cV7Xdpp1Fi4DLAQ,HIGHER,00,AKBrgVFM5VjBngCsFPRgjBfCCDcy3hYcqGH21v83Ufh2,$0.000271,$271.0M,$1.1M,$271.0M
ETQH4jLsyc7GAsxC7rAK5fFhH9H1BUgKeaRHUQVbFP36,snowball,00,HKHkCGZCFMV57kpmMiyRzAvnc5f9JMVE1suy5Z2f748d,$0.007409,$7.4B,$29.6M,$7.4B
7vKhasn2ztpG4FCSmTCd6ZXL2rDNDjHtLwwbkp6twKD,Jeffrey Epstein,00,H4kZYcNfEaDiTW2CoMreYrytmSj7r4qsWHNWRCbeRdTf,$0.000135,$135.2M,$541K,$135.2M
5Z8RoCsyG9yhTZoJtms5qeY8zAfkGDEAy2dE9zBifE4z,I’m Proud to Be White.,00,DF2ZzxFNke7jPzg8TZtbocT6uJLmJdjiUzKJAMPT86SH,$0.000655,$655.0M,$2.6M,$655.0M
