Token,Symbol,Contract,PairId,Price,MarketCap_raw,Liquidity_raw,FDV_raw,MarketCap,Liquidity,FDV
wifmas,00,Cc1n65KSwtjsAKFBsE7BZLdTWp4vbmL7X1J6c9YBAC78,EGG23b2VLwJ6cWXuVVbxHTrVQabVjmDhVus3k2kHBPB1,$0.000651,650913082.0,2603652.54,650913082.0,$650.9M,$2.6M,$650.9M
snowball,COIN,7E6A1bYWR6dWZ2UEKTV7CHjaRXSTSxmuKuKjv64Vdwzg,7uHgNMDmrnHMxw2C7ybnuyAYQNYjfPfebLNR9xCwg8oZ,$0.006708,6708698177.0,26834792.91,6708698177.0,$6.7B,$26.8M,$6.7B
Bullish Degen,Doge,TfXMqdaPqQNHVE7eJyJ4zU4KeGKrzYWDsj1g3b7koDS,CXSjPTznEHwzheS6sA9ccvnKT7JDvMxJUbEySuYs6rin,$0.016090,16097459849.0,64389839.6,16097459849.0,$16.1B,$64.4M,$16.1B
liquid,THE˙,E2GiK2faCATQ7pJQtAHpGQAtyWZRBhX7rhS1E6iZG9xK,DPMaDC3pdw1UbvdvtuCi2nEU9W6TmaDeEJQsFcoq3qyC,$0.001791,1791712119.0,7166848.68,1791712119.0,$1.8B,$7.2M,$1.8B
DINOSOL,THE˙,GrVqjMwdcS87F2vrhUMYtvVw4n5vNbcjpWEFaopHGCbN,D9BYXYCEZdSdnuWkkWsBDThzeXRKMTUipCuSE291sBzu,$0.000722,722106258.0,2888425.24,722106258.0,$722.1M,$2.9M,$722.1M
Pumpfun v2,COIN,DSjJw3yxmZz7SmioksETpPnbpGSvf4wvr9W8HiW77qZN,7fwhDMLP3iUJNqRrPH3McxxFdxfTEY8ZWbfWNndFGL8z,$0.002509,2509677930.0,10038711.92,2509677930.0,$2.5B,$10.0M,$2.5B
Nobody Sausage,NOBODY,0x0dcdf27730352edfcfd93cfeb140a1fc2cc7236054a4df1b18317971b54966b8::nobody::NOBODY,0xfed3cfbd2d8e3dc8c5db3186e70f3ae7a7a9b55bc98993968beab1243a490405,$60.840000,60844155844.0,8263596.45,60844155844.0,$60.8B,$8.3M,$60.8B
SANTA by Virtuals,SANTA,0x815269D17C10f0F3dF7249370E0c1B9efe781aa8,0xc5D0305435B1389EdAe6babd9260b1a5c19f1606,$0.003211,3154782.0,297867.06,3154782.0,$3.2M,$298K,$3.2M
Tuna,00,DjfYYGtnsB3UhAFCkrE7DBkdd77tnQDx5t76Wu2RC5qf,HjNLVrVsb8kLMo1Leo4YMTqccHNrszgtxsXpe8QsCAWw,$0.000821,821035071.0,3284140.28,821035071.0,$821.0M,$3.3M,$821.0M
LOOK,LOOK,9223LqDuoJXyhCtvi54DUQPGS8Xf29kUEQRr7Sfhmoon,Dix8AqqZgGRJAE1ymR52pBVGKseejxDMCFqyHY7Qk9h7,$0.021750,20064820.0,396224.35,20064820.0,$20.1M,$396K,$20.1M
LEGAL,LEGAL,0x0b1307dc5D90a0B60Be18D2634843343eBc098AF,0x02f7EeD5950c81d7b7C23aa03004828F26B5e651,$0.992000,977626.0,1622621.89,977626.0,$978K,$1.6M,$978K
Neuro-sama,THE˙,BS4Y6cv12oDd9PjP3QZ2zid3M1XpRrNMMeP6XsoJLRHp,6wGEY4QH5AZb3vZzwDJzYAiN3m64DMb3dbjGVAEDkE6c,$0.000838,838039171.0,3352156.89,838039171.0,$838.0M,$3.4M,$838.0M
HIGHER,00,Ago2CkbkY2g44xztjbQryhph2Ceg6cV7Xdpp1Fi4DLAQ,AKBrgVFM5VjBngCsFPRgjBfCCDcy3hYcqGH21v83Ufh2,$0.000271,271000706.0,1084002.82,271000706.0,$271.0M,$1.1M,$271.0M
snowball,00,ETQH4jLsyc7GAsxC7rAK5fFhH9H1BUgKeaRHUQVbFP36,HKHkCGZCFMV57kpmMiyRzAvnc5f9JMVE1suy5Z2f748d,$0.007409,7404828095.0,29636131.67,7404828095.0,$7.4B,$29.6M,$7.4B
Jeffrey Epstein,00,7vKhasn2ztpG4FCSmTCd6ZXL2rDNDjHtLwwbkp6twKD,H4kZYcNfEaDiTW2CoMreYrytmSj7r4qsWHNWRCbeRdTf,$0.000135,135173071.0,540692.51,135173071.0,$135.2M,$541K,$135.2M
I’m Proud to Be White.,00,5Z8RoCsyG9yhTZoJtms5qeY8zAfkGDEAy2dE9zBifE4z,DF2ZzxFNke7jPzg8TZtbocT6uJLmJdjiUzKJAMPT86SH,$0.000655,655027450.0,2620110.01,655027450.0,$655.0M,$2.6M,$655.0M
Screaming Rubber Chicken,AI,FxV8nhZvD5XazYUw4aCcauv6ouyP7JyoAMru9TDkLjBa,5ifDbofZSPg9NZqdX7g45pD5xyTYCVx3CVZQVUTta9SA,$0.001309,1309811671.0,5239246.89,1309811671.0,$1.3B,$5.2M,$1.3B
Korosuke,Coin,2SrBET8ozwrdFRWbVbVpWivwo6w8jSJogwfK4JxgVg58,B932LGVDwX849dR1n7fUbyRUCm81qSry8h43n96QZXph,$0.000181,180971934.0,723887.94,180971934.0,$181.0M,$724K,$181.0M
Franklin The Turtle,00,TpAV5VuCVzN3LzABBMxdNuv1PLhBNQNsvTrAsi3AvLT,UCngzL59z6uoTQPcQVuDxPwDw7UD9pTLNUvrU9WfZP7,$0.001830,1830648272.0,7322593.34,1830648272.0,$1.8B,$7.3M,$1.8B
Soter, THE˙,C5ABH63ChK86B4DiPaFU1fP2iomZBjY2AGPLnXicpiDY,7f2zM6oSc22j4B59rWXraY19M7G12Kv5c55NE7SW8a2a,$0.000830,829949866.0,3319799.67,829949866.0,$829.9M,$3.3M,$829.9M
Cat Terminal,CAT,4HBQm2EhdpUWZkTYxttxNDnsoWi5beRAGWHpjVo8pump,BjkBxREU5J1gi9J4o68EMurMdkwkWNf8jhjkGMNUqRmr,$0.011290,11298056.0,440482.57,11298056.0,$11.3M,$440K,$11.3M
Trenches Wrapped,ㅤ,148EfHA7f3XFrMg4usNAeAfHhpphoRmVkm72nQqnTXkP,D26BjZNe2NVrHSo8Mi6oMPbcNn27nbfHfMQNFitzW9Xq,$0.000048,48101226.0,192405.12,48101226.0,$48.1M,$192K,$48.1M
2026,THE˙,7hww57NwjLDmK92MxFZQZcqAMaB6y54yPpn47i9UWrM2,GMKRqahVeA5ELoz7jZrxEQjEuoRUqtRYkK8P6ekjzFdY,$0.000518,518110744.0,2072443.18,518110744.0,$518.1M,$2.1M,$518.1M
JUICE,00,8zXG2qkGKhiS8dFH9EQ18Y23dFWhSFrxRwbDPLgsSnMx,6TYfT9L35XrTGUAuUcUwHYU4uibwJMF9v5gFA1RwSGqB,$0.000341,340941068.0,1363764.48,340941068.0,$340.9M,$1.4M,$340.9M
NOTHING GBACK XVM XERISCOIN774,KABUTOMSHE,GkY5gVm3f9ZH2sSPLZURQBXZP5JN8tbqTL9UGkHUqA2G,3C33pQ9q9WjFKCpem8pT5mtegAp9XQ1VEx1wTNX6bxm8,$1.550000,155998744.0,155999100.82,155998744.0,$156.0M,$156.0M,$156.0M
Baby Doge Coin,BabyDoge,7dUKUopcNWW6CcU4eRxCHh1uiMh32zDrmGf6ufqhxann,8ssUoNgsmob23argRdQayyMJbvy41hZxwzvXnviFnSvU,$0.000000,102130484.0,268651.12,171457669.0,$102.1M,$269K,$171.5M
